economy,SP.POP.TOTL,SP.POP.TOTL:T
ABW,106766.0,2020
AFE,677243299.0,2020
AFG,38928341.0,2020
AFW,458803476.0,2020
AGO,32866268.0,2020
ALB,2837849.0,2020
AND,77265.0,2020
ARB,436080728.0,2020
ARE,9890400.0,2020
ARG,45376763.0,2020
ARM,2963234.0,2020
ASM,55197.0,2020
ATG,97928.0,2020
AUS,25693267.0,2020
AUT,8916864.0,2020
AZE,10093121.0,2020
BDI,11890781.0,2020
BEL,11544241.0,2020
BEN,12123198.0,2020
BFA,20903278.0,2020
BGD,164689383.0,2020
BGR,6934015.0,2020
BHR,1701583.0,2020
BHS,393248.0,2020
BIH,3280815.0,2020
BLR,9379952.0,2020
BLZ,397621.0,2020
BMU,63903.0,2020
BOL,11673029.0,2020
BRA,212559409.0,2020
BRB,287371.0,2020
BRN,437483.0,2020
BTN,771612.0,2020
BWA,2351625.0,2020
CAF,4829764.0,2020
CAN,38037204.0,2020
CEB,102172351.0,2020
CHE,8636561.0,2020
CHI,173859.0,2020
CHL,19116209.0,2020
CHN,1410929362.0,2020
CIV,26378275.0,2020
CMR,26545864.0,2020
COD,89561404.0,2020
COG,5518092.0,2020
COL,50882884.0,2020
COM,869595.0,2020
CPV,555988.0,2020
CRI,5094114.0,2020
CSS,7442291.0,2020
CUB,11326616.0,2020
CUW,154947.0,2020
CYM,65720.0,2020
CYP,1207361.0,2020
CZE,10697858.0,2020
DEU,83160871.0,2020
DJI,988002.0,2020
DMA,71991.0,2020
DNK,5831404.0,2020
DOM,10847904.0,2020
DZA,43851043.0,2020
EAP,2113820753.0,2020
EAR,3332103561.0,2020
EAS,2360916965.0,2020
ECA,420185872.0,2020
ECS,923142688.0,2020
ECU,17643060.0,2020
EGY,102334403.0,2020
EMU,342708355.0,2020
ERI,3213969.0,2011
ESP,47363419.0,2020
EST,1329479.0,2020
ETH,114963583.0,2020
EUU,447479493.0,2020
FCS,930004306.0,2020
FIN,5529543.0,2020
FJI,896444.0,2020
FRA,67379908.0,2020
FRO,48865.0,2020
FSM,115021.0,2020
GAB,2225728.0,2020
GBR,67215293.0,2020
GEO,3722716.0,2020
GHA,31072945.0,2020
GIB,33691.0,2020
GIN,13132792.0,2020
GMB,2416664.0,2020
GNB,1967998.0,2020
GNQ,1402985.0,2020
GRC,10700556.0,2020
GRD,112519.0,2020
GRL,56367.0,2020
GTM,16858333.0,2020
GUM,168783.0,2020
GUY,786559.0,2020
HIC,1216834555.0,2020
HKG,7481800.0,2020
HND,9904608.0,2020
HPC,823480038.0,2020
HRV,4047680.0,2020
HTI,11402533.0,2020
HUN,9750149.0,2020
IBD,4862308152.0,2020
IBT,6570914880.0,2020
IDA,1708606728.0,2020
IDB,574159138.0,2020
IDN,273523621.0,2020
IDX,1134447590.0,2020
IMN,85032.0,2020
IND,1380004385.0,2020
IRL,4985674.0,2020
IRN,83992953.0,2020
IRQ,40222503.0,2020
ISL,366463.0,2020
ISR,9215100.0,2020
ITA,59449527.0,2020
JAM,2961161.0,2020
JOR,10203140.0,2020
JPN,125836021.0,2020
KAZ,18754440.0,2020
KEN,53771300.0,2020
KGZ,6579900.0,2020
KHM,16718971.0,2020
KIR,119446.0,2020
KNA,53192.0,2020
KOR,51836239.0,2020
KWT,4270563.0,2020
LAC,595242966.0,2020
LAO,7275556.0,2020
LBN,6825442.0,2020
LBR,5057677.0,2020
LBY,6871287.0,2020
LCA,183629.0,2020
LCN,652365260.0,2020
LDC,1057131013.0,2020
LIC,665149035.0,2020
LIE,38137.0,2020
LKA,21919000.0,2020
LMC,3330640847.0,2020
LMY,6518228149.0,2020
LSO,2142252.0,2020
LTE,2316662680.0,2020
LTU,2794885.0,2020
LUX,630419.0,2020
LVA,1900449.0,2020
MAC,649342.0,2020
MAF,38659.0,2020
MAR,36910558.0,2020
MCO,39244.0,2020
MDA,2620495.0,2020
MDG,27691019.0,2020
MDV,540542.0,2020
MEA,464542370.0,2020
MEX,128932753.0,2020
MHL,59194.0,2020
MIC,5853079114.0,2020
MKD,2072531.0,2020
MLI,20250834.0,2020
MLT,515332.0,2020
MMR,54409794.0,2020
MNA,396147843.0,2020
MNE,621306.0,2020
MNG,3278292.0,2020
MNP,57557.0,2020
MOZ,31255435.0,2020
MRT,4649660.0,2020
MUS,1265740.0,2020
MWI,19129955.0,2020
MYS,32365998.0,2020
NAC,369602187.0,2020
NAM,2540916.0,2020
NCL,271960.0,2020
NER,24206636.0,2020
NGA,206139587.0,2020
NIC,6624554.0,2020
NLD,17441500.0,2020
NOR,5379475.0,2020
NPL,29136808.0,2020
NRU,10834.0,2020
NZL,5084300.0,2020
OED,1372683615.0,2020
OMN,5106622.0,2020
OSS,31929881.0,2020
PAK,220892331.0,2020
PAN,4314768.0,2020
PER,32971846.0,2020
PHL,109581085.0,2020
PLW,18092.0,2020
PNG,8947027.0,2020
POL,37899070.0,2020
PRE,970795671.0,2020
PRI,3281538.0,2020
PRK,25778815.0,2020
PRT,10297081.0,2020
PRY,7132530.0,2020
PSE,4803269.0,2020
PSS,2528958.0,2020
PST,1116984877.0,2020
PYF,280904.0,2020
QAT,2881060.0,2020
ROU,19257520.0,2020
RUS,144104080.0,2020
RWA,12952209.0,2020
SAS,1856882402.0,2020
SAU,34813867.0,2020
SDN,43849269.0,2020
SEN,16743930.0,2020
SGP,5685807.0,2020
SLB,686878.0,2020
SLE,7976985.0,2020
SLV,6486201.0,2020
SMR,33938.0,2020
SOM,15893219.0,2020
SRB,6899126.0,2020
SSA,1135948313.0,2020
SSD,11193729.0,2020
SSF,1136046775.0,2020
SST,41901130.0,2020
STP,219161.0,2020
SUR,586634.0,2020
SVK,5458827.0,2020
SVN,2102419.0,2020
SWE,10353442.0,2020
SWZ,1160164.0,2020
SXM,42310.0,2020
SYC,98462.0,2020
SYR,17500657.0,2020
TCA,38718.0,2020
TCD,16425859.0,2020
TEA,2088015667.0,2020
TEC,462132622.0,2020
TGO,8278737.0,2020
THA,69799978.0,2020
TJK,9537642.0,2020
TKM,6031187.0,2020
TLA,636492840.0,2020
TLS,1318442.0,2020
TMN,391344574.0,2020
TON,105697.0,2020
TSA,1856882402.0,2020
TSS,1136046775.0,2020
TTO,1399491.0,2020
TUN,11818618.0,2020
TUR,84339067.0,2020
TUV,11792.0,2020
TZA,59734213.0,2020
UGA,45741000.0,2020
UKR,44134693.0,2020
UMC,2522438267.0,2020
URY,3473727.0,2020
USA,331501080.0,2020
UZB,34232050.0,2020
VCT,110947.0,2020
VEN,28435943.0,2020
VGB,30237.0,2020
VIR,106290.0,2020
VNM,97338583.0,2020
VUT,307150.0,2020
WLD,7763498647.0,2020
WSM,198410.0,2020
XKX,1790133.0,2020
YEM,29825968.0,2020
ZAF,59308690.0,2020
ZMB,18383956.0,2020
ZWE,14862927.0,2020
